15-09-2026---01-32-46, LodeRunner, DoNothing, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---09-35-54, LodeRunner, DoNothing, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---10-56-25, LodeRunner, DoNothing, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---01-01-20, LodeRunner, DoNothing, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---09-26-43, LodeRunner, DoNothing, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---10-59-37, LodeRunner, DoNothing, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---13-42-47, LodeRunner, DoNothing, Avg: 0.0000, Std.Dev: 0.0000 (N=5)


15-09-2026---01-32-46, LodeRunner, Exploratory, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---09-35-54, LodeRunner, Exploratory, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---10-56-25, LodeRunner, Exploratory, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---01-01-20, LodeRunner, Exploratory, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---09-26-43, LodeRunner, Exploratory, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---10-59-37, LodeRunner, Exploratory, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---13-42-47, LodeRunner, Exploratory, Avg: 0.0000, Std.Dev: 0.0000 (N=5)


15-09-2026---01-32-46, LodeRunner, Strict, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---09-35-54, LodeRunner, Strict, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---10-56-25, LodeRunner, Strict, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---01-01-20, LodeRunner, Strict, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---09-26-43, LodeRunner, Strict, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---10-59-37, LodeRunner, Strict, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---13-42-47, LodeRunner, Strict, Avg: 0.0000, Std.Dev: 0.0000 (N=5)


15-09-2026---01-32-46, LodeRunner, Adaptive, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---09-35-54, LodeRunner, Adaptive, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---10-56-25, LodeRunner, Adaptive, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---01-01-20, LodeRunner, Adaptive, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---09-26-43, LodeRunner, Adaptive, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---10-59-37, LodeRunner, Adaptive, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---13-42-47, LodeRunner, Adaptive, Avg: 0.0000, Std.Dev: 0.0000 (N=5)


15-09-2026---01-32-46, LodeRunner, TwoForwardOneBack, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---09-35-54, LodeRunner, TwoForwardOneBack, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---10-56-25, LodeRunner, TwoForwardOneBack, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---01-01-20, LodeRunner, TwoForwardOneBack, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---09-26-43, LodeRunner, TwoForwardOneBack, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---10-59-37, LodeRunner, TwoForwardOneBack, Avg: 0.0000, Std.Dev: 0.0000 (N=5)
15-09-2026---13-42-47, LodeRunner, TwoForwardOneBack, Avg: 0.0000, Std.Dev: 0.0000 (N=5)

15-09-2026---01-32-46, LogicPuzzle, Exploratory, Avg: 11.5767, Std.Dev: 6.9036 (N=5)
15-09-2026---09-35-54, LogicPuzzle, Exploratory, Avg: 8.2760, Std.Dev: 9.1929 (N=5)
15-09-2026---10-56-25, LogicPuzzle, Exploratory, Avg: 11.5067, Std.Dev: 9.0517 (N=5)
15-09-2026---01-01-20, LogicPuzzle, Exploratory, Avg: 8.9260, Std.Dev: 8.2850 (N=5)
15-09-2026---09-26-43, LogicPuzzle, Exploratory, Avg: 5.1900, Std.Dev: 2.4870 (N=5)
15-09-2026---10-59-37, LogicPuzzle, Exploratory, Avg: 7.4513, Std.Dev: 5.5419 (N=5)
15-09-2026---13-42-47, LogicPuzzle, Exploratory, Avg: 3.1467, Std.Dev: 6.9635 (N=5)


15-09-2026---01-32-46, LogicPuzzle, DoNothing, Avg: 20.7927, Std.Dev: 0.8356 (N=5)
15-09-2026---09-35-54, LogicPuzzle, DoNothing, Avg: 26.7573, Std.Dev: 9.4724 (N=5)
15-09-2026---10-56-25, LogicPuzzle, DoNothing, Avg: 32.1433, Std.Dev: 2.7781 (N=5)
15-09-2026---01-01-20, LogicPuzzle, DoNothing, Avg: 24.5847, Std.Dev: 5.8560 (N=5)
15-09-2026---09-26-43, LogicPuzzle, DoNothing, Avg: 25.8320, Std.Dev: 7.9320 (N=5)
15-09-2026---10-59-37, LogicPuzzle, DoNothing, Avg: 20.1847, Std.Dev: 0.8188 (N=5)
15-09-2026---13-42-47, LogicPuzzle, DoNothing, Avg: 22.3980, Std.Dev: 4.2769 (N=5)


15-09-2026---01-32-46, LogicPuzzle, Strict, Avg: 0.3540, Std.Dev: 0.6429 (N=5)
15-09-2026---09-35-54, LogicPuzzle, Strict, Avg: 0.3480, Std.Dev: 0.6441 (N=5)
15-09-2026---10-56-25, LogicPuzzle, Strict, Avg: 0.0593, Std.Dev: 0.0148 (N=5)
15-09-2026---01-01-20, LogicPuzzle, Strict, Avg: 0.0680, Std.Dev: 0.0226 (N=5)
15-09-2026---09-26-43, LogicPuzzle, Strict, Avg: 1.4293, Std.Dev: 3.0303 (N=5)
15-09-2026---10-59-37, LogicPuzzle, Strict, Avg: 0.0673, Std.Dev: 0.0225 (N=5)
15-09-2026---13-42-47, LogicPuzzle, Strict, Avg: 0.0533, Std.Dev: 0.0261 (N=5)


15-09-2026---01-32-46, LogicPuzzle, Adaptive, Avg: 38.0673, Std.Dev: 5.8303 (N=5)
15-09-2026---09-35-54, LogicPuzzle, Adaptive, Avg: 30.2947, Std.Dev: 8.5516 (N=5)
15-09-2026---10-56-25, LogicPuzzle, Adaptive, Avg: 29.5800, Std.Dev: 6.9714 (N=5)
15-09-2026---01-01-20, LogicPuzzle, Adaptive, Avg: 34.7313, Std.Dev: 9.3358 (N=5)
15-09-2026---09-26-43, LogicPuzzle, Adaptive, Avg: 38.6093, Std.Dev: 6.7861 (N=5)
15-09-2026---10-59-37, LogicPuzzle, Adaptive, Avg: 34.1693, Std.Dev: 4.5060 (N=5)
15-09-2026---13-42-47, LogicPuzzle, Adaptive, Avg: 31.5273, Std.Dev: 3.3633 (N=5)


15-09-2026---01-32-46, LogicPuzzle, TwoForwardOneBack, Avg: 13.0467, Std.Dev: 3.0921 (N=5)
15-09-2026---09-35-54, LogicPuzzle, TwoForwardOneBack, Avg: 14.7580, Std.Dev: 4.6715 (N=5)
15-09-2026---10-56-25, LogicPuzzle, TwoForwardOneBack, Avg: 12.0167, Std.Dev: 3.8869 (N=5)
