generation, x, y, fitness
0, 0,0, 13
0, 1,0, 11
0, 2,0, 10
0, 3,0, 13
0, 4,0, 13
0, 5,0, 11
0, 6,0, 12
0, 7,0, 14
0, 8,0, 13
0, 9,0, 13
0, 10,0, 14
0, 11,0, 12
0, 12,0, 13
0, 13,0, 10
0, 14,0, 10
0, 15,0, 14
0, 16,0, 13
0, 17,0, 13
0, 18,0, 10
0, 19,0, 14
0, 20,0, 11
0, 21,0, 12
0, 22,0, 10
0, 23,0, 10
0, 24,0, 14
0, 25,0, 11
0, 26,0, 13
0, 27,0, 11
0, 28,0, 14
0, 29,0, 11
0, 30,0, 14
0, 31,0, 12
0, 32,0, 13
0, 33,0, 13
0, 34,0, 10
0, 35,0, 11
0, 36,0, 10
0, 37,0, 12
0, 38,0, 10
0, 39,0, 14
0, 0,1, 13
0, 1,1, 13
0, 2,1, 13
0, 3,1, 14
0, 4,1, 10
0, 5,1, 10
0, 6,1, 11
0, 7,1, 10
0, 8,1, 11
0, 9,1, 14
0, 10,1, 10
0, 11,1, 13
0, 12,1, 13
0, 13,1, 11
0, 14,1, 12
0, 15,1, 12
0, 16,1, 14
0, 17,1, 10
0, 18,1, 10
0, 19,1, 14
0, 20,1, 11
0, 21,1, 13
0, 22,1, 14
0, 23,1, 10
0, 24,1, 12
0, 25,1, 11
0, 26,1, 14
0, 27,1, 11
0, 28,1, 10
0, 29,1, 13
0, 30,1, 11
0, 31,1, 14
0, 32,1, 11
0, 33,1, 14
0, 34,1, 14
0, 35,1, 11
0, 36,1, 13
0, 37,1, 13
0, 38,1, 11
0, 39,1, 13
0, 0,2, 14
0, 1,2, 14
0, 2,2, 14
0, 3,2, 14
0, 4,2, 14
0, 5,2, 10
0, 6,2, 12
0, 7,2, 10
0, 8,2, 14
0, 9,2, 13
0, 10,2, 13
0, 11,2, 12
0, 12,2, 12
0, 13,2, 10
0, 14,2, 12
0, 15,2, 11
0, 16,2, 11
0, 17,2, 12
0, 18,2, 13
0, 19,2, 11
0, 20,2, 10
0, 21,2, 12
0, 22,2, 12
0, 23,2, 13
0, 24,2, 11
0, 25,2, 14
0, 26,2, 11
0, 27,2, 13
0, 28,2, 10
0, 29,2, 12
0, 30,2, 14
0, 31,2, 14
0, 32,2, 14
0, 33,2, 10
0, 34,2, 13
0, 35,2, 12
0, 36,2, 10
0, 37,2, 12
0, 38,2, 10
0, 39,2, 11
0, 0,3, 11
0, 1,3, 12
0, 2,3, 11
0, 3,3, 12
0, 4,3, 12
0, 5,3, 12
0, 6,3, 11
0, 7,3, 13
0, 8,3, 11
0, 9,3, 14
0, 10,3, 11
0, 11,3, 10
0, 12,3, 10
0, 13,3, 10
0, 14,3, 13
0, 15,3, 12
0, 16,3, 14
0, 17,3, 13
0, 18,3, 13
0, 19,3, 13
0, 20,3, 10
0, 21,3, 10
0, 22,3, 12
0, 23,3, 14
0, 24,3, 10
0, 25,3, 13
0, 26,3, 10
0, 27,3, 10
0, 28,3, 12
0, 29,3, 11
0, 30,3, 14
0, 31,3, 12
0, 32,3, 12
0, 33,3, 11
0, 34,3, 10
0, 35,3, 11
0, 36,3, 10
0, 37,3, 14
0, 38,3, 13
0, 39,3, 11
0, 0,4, 10
0, 1,4, 13
0, 2,4, 10
0, 3,4, 11
0, 4,4, 12
0, 5,4, 13
0, 6,4, 13
0, 7,4, 14
0, 8,4, 10
0, 9,4, 12
0, 10,4, 11
0, 11,4, 11
0, 12,4, 12
0, 13,4, 10
0, 14,4, 11
0, 15,4, 14
0, 16,4, 10
0, 17,4, 10
0, 18,4, 14
0, 19,4, 11
0, 20,4, 14
0, 21,4, 13
0, 22,4, 14
0, 23,4, 10
0, 24,4, 13
0, 25,4, 12
0, 26,4, 10
0, 27,4, 11
0, 28,4, 13
0, 29,4, 10
0, 30,4, 10
0, 31,4, 10
0, 32,4, 14
0, 33,4, 11
0, 34,4, 13
0, 35,4, 13
0, 36,4, 13
0, 37,4, 13
0, 38,4, 13
0, 39,4, 10
1, 0,0, 12
1, 1,0, 12
1, 2,0, 13
1, 3,0, 14
1, 4,0, 13
1, 5,0, 15
1, 6,0, 14
1, 7,0, 10
1, 8,0, 12
1, 9,0, 12
1, 10,0, 13
1, 11,0, 13
1, 12,0, 14
1, 13,0, 14
1, 14,0, 11
1, 15,0, 14
1, 16,0, 12
1, 17,0, 12
1, 18,0, 14
1, 19,0, 10
1, 20,0, 14
1, 21,0, 13
1, 22,0, 12
1, 23,0, 14
1, 24,0, 12
1, 25,0, 12
1, 26,0, 11
1, 27,0, 13
1, 28,0, 13
1, 29,0, 10
1, 30,0, 13
1, 31,0, 12
1, 32,0, 14
1, 33,0, 14
1, 34,0, 14
1, 35,0, 13
1, 36,0, 14
1, 37,0, 13
1, 38,0, 13
1, 39,0, 14
1, 0,1, 10
1, 1,1, 13
1, 2,1, 12
1, 3,1, 11
1, 4,1, 13
1, 5,1, 12
1, 6,1, 10
1, 7,1, 13
1, 8,1, 12
1, 9,1, 11
1, 10,1, 13
1, 11,1, 14
1, 12,1, 14
1, 13,1, 11
1, 14,1, 13
1, 15,1, 14
1, 16,1, 12
1, 17,1, 14
1, 18,1, 14
1, 19,1, 13
1, 20,1, 12
1, 21,1, 11
1, 22,1, 12
1, 23,1, 12
1, 24,1, 10
1, 25,1, 13
1, 26,1, 13
1, 27,1, 12
1, 28,1, 14
1, 29,1, 13
1, 30,1, 13
1, 31,1, 14
1, 32,1, 14
1, 33,1, 11
1, 34,1, 13
1, 35,1, 12
1, 36,1, 12
1, 37,1, 15
1, 38,1, 13
1, 39,1, 14
1, 0,2, 12
1, 1,2, 12
1, 2,2, 12
1, 3,2, 12
1, 4,2, 10
1, 5,2, 13
1, 6,2, 12
1, 7,2, 11
1, 8,2, 14
1, 9,2, 13
1, 10,2, 14
1, 11,2, 14
1, 12,2, 15
1, 13,2, 11
1, 14,2, 14
1, 15,2, 13
1, 16,2, 11
1, 17,2, 12
1, 18,2, 10
1, 19,2, 13
1, 20,2, 11
1, 21,2, 10
1, 22,2, 14
1, 23,2, 11
1, 24,2, 14
1, 25,2, 10
1, 26,2, 12
1, 27,2, 13
1, 28,2, 13
1, 29,2, 12
1, 30,2, 14
1, 31,2, 12
1, 32,2, 13
1, 33,2, 14
1, 34,2, 10
1, 35,2, 12
1, 36,2, 11
1, 37,2, 12
1, 38,2, 14
1, 39,2, 13
1, 0,3, 14
1, 1,3, 15
1, 2,3, 12
1, 3,3, 11
1, 4,3, 13
1, 5,3, 14
1, 6,3, 13
1, 7,3, 12
1, 8,3, 15
1, 9,3, 14
1, 10,3, 15
1, 11,3, 13
1, 12,3, 14
1, 13,3, 14
1, 14,3, 12
1, 15,3, 14
1, 16,3, 12
1, 17,3, 11
1, 18,3, 10
1, 19,3, 11
1, 20,3, 12
1, 21,3, 11
1, 22,3, 12
1, 23,3, 12
1, 24,3, 10
1, 25,3, 12
1, 26,3, 11
1, 27,3, 12
1, 28,3, 10
1, 29,3, 13
1, 30,3, 14
1, 31,3, 14
1, 32,3, 13
1, 33,3, 12
1, 34,3, 13
1, 35,3, 14
1, 36,3, 12
1, 37,3, 14
1, 38,3, 11
1, 39,3, 15
1, 0,4, 12
1, 1,4, 12
1, 2,4, 11
1, 3,4, 12
1, 4,4, 12
1, 5,4, 11
1, 6,4, 12
1, 7,4, 12
1, 8,4, 11
1, 9,4, 11
1, 10,4, 14
1, 11,4, 13
1, 12,4, 10
1, 13,4, 13
1, 14,4, 14
1, 15,4, 14
1, 16,4, 12
1, 17,4, 12
1, 18,4, 13
1, 19,4, 13
1, 20,4, 14
1, 21,4, 13
1, 22,4, 10
1, 23,4, 14
1, 24,4, 10
1, 25,4, 11
1, 26,4, 12
1, 27,4, 10
1, 28,4, 12
1, 29,4, 13
1, 30,4, 14
1, 31,4, 14
1, 32,4, 14
1, 33,4, 12
1, 34,4, 14
1, 35,4, 14
1, 36,4, 14
1, 37,4, 14
1, 38,4, 13
1, 39,4, 13
2, 0,0, 14
2, 1,0, 12
2, 2,0, 14
2, 3,0, 14
2, 4,0, 14
2, 5,0, 15
2, 6,0, 14
2, 7,0, 11
2, 8,0, 12
2, 9,0, 14
2, 10,0, 14
2, 11,0, 13
2, 12,0, 15
2, 13,0, 13
2, 14,0, 11
2, 15,0, 14
2, 16,0, 12
2, 17,0, 13
2, 18,0, 14
2, 19,0, 12
2, 20,0, 14
2, 21,0, 14
2, 22,0, 13
2, 23,0, 14
2, 24,0, 13
2, 25,0, 12
2, 26,0, 13
2, 27,0, 15
2, 28,0, 15
2, 29,0, 12
2, 30,0, 13
2, 31,0, 14
2, 32,0, 15
2, 33,0, 15
2, 34,0, 14
2, 35,0, 15
2, 36,0, 14
2, 37,0, 13
2, 38,0, 14
2, 39,0, 14
2, 0,1, 12
2, 1,1, 13
2, 2,1, 13
2, 3,1, 13
2, 4,1, 14
2, 5,1, 14
2, 6,1, 12
2, 7,1, 14
2, 8,1, 14
2, 9,1, 11
2, 10,1, 13
2, 11,1, 15
2, 12,1, 15
2, 13,1, 13
2, 14,1, 14
2, 15,1, 14
2, 16,1, 13
2, 17,1, 14
2, 18,1, 14
2, 19,1, 14
2, 20,1, 12
2, 21,1, 14
2, 22,1, 12
2, 23,1, 13
2, 24,1, 12
2, 25,1, 13
2, 26,1, 13
2, 27,1, 12
2, 28,1, 14
2, 29,1, 14
2, 30,1, 14
